  .50000E+02  .22709E+02 -.11071E+04
  .10000E+03  .22790E+02 -.47825E+03
  .15000E+03  .27243E+02 -.22873E+03
  .20000E+03  .36671E+02 -.65789E+02
  .25000E+03  .55929E+02  .75469E+02
  .30000E+03  .99181E+02  .22678E+03
  .35000E+03  .21307E+03  .41366E+03
  .40000E+03  .55399E+03  .58717E+03
  .45000E+03  .10679E+04  .19383E+03
  .50000E+03  .76919E+03 -.30465E+03
  .55000E+03  .47549E+03 -.28720E+03
  .60000E+03  .35951E+03 -.19260E+03
  .65000E+03  .32231E+03 -.11294E+03
  .70000E+03  .32024E+03 -.58420E+02
  .75000E+03  .32865E+03 -.28860E+02
  .80000E+03  .32899E+03 -.13786E+02
  .85000E+03  .31753E+03  .63959E+01
  .90000E+03  .30721E+03  .44752E+02
  .95000E+03  .31515E+03  .10140E+03
  .10000E+04  .35866E+03  .16888E+03
