  .50000E+02  .32372E+02 -.10087E+04
  .10000E+03  .37660E+02 -.42188E+03
  .15000E+03  .48761E+02 -.18288E+03
  .20000E+03  .70859E+02 -.22156E+02
  .25000E+03  .11638E+03  .11697E+03
  .30000E+03  .21296E+03  .24514E+03
  .35000E+03  .39243E+03  .31212E+03
  .40000E+03  .56977E+03  .21986E+03
  .45000E+03  .59539E+03  .77726E+02
  .50000E+03  .56632E+03  .16402E+02
  .55000E+03  .56817E+03 -.18353E+02
  .60000E+03  .57504E+03 -.91851E+02
  .65000E+03  .51259E+03 -.18711E+03
  .70000E+03  .38919E+03 -.21467E+03
  .75000E+03  .28495E+03 -.16479E+03
  .80000E+03  .22639E+03 -.81580E+02
  .85000E+03  .20616E+03  .11936E+02
  .90000E+03  .22011E+03  .11171E+03
  .95000E+03  .27914E+03  .21788E+03
  .10000E+04  .41916E+03  .31259E+03
