 830.00000       .32816      -.04808       .89000   .80517E+03  -.86998E+02
 840.00000       .33086      -.05303       .88772   .80868E+03  -.96622E+02
 850.00000       .33321      -.05812       .88559   .81138E+03  -.10650E+03
 860.00000       .33520      -.06333       .88363   .81323E+03  -.11657E+03
 870.00000       .33682      -.06863       .88184   .81425E+03  -.12675E+03
 880.00000       .33808      -.07401       .88022   .81441E+03  -.13696E+03
 890.00000       .33898      -.07945       .87878   .81373E+03  -.14713E+03
 900.00000       .33952      -.08491       .87751   .81222E+03  -.15718E+03
 910.00000       .33971      -.09039       .87643   .80990E+03  -.16705E+03
 920.00000       .33953      -.09585       .87553   .80681E+03  -.17666E+03
 930.00000       .33901      -.10129       .87481   .80297E+03  -.18595E+03
 940.00000       .33815      -.10668       .87427   .79844E+03  -.19486E+03
 950.00000       .33695      -.11201       .87392   .79325E+03  -.20334E+03
 960.00000       .33542      -.11725       .87375   .78747E+03  -.21134E+03
 970.00000       .33357      -.12238       .87376   .78113E+03  -.21882E+03
 980.00000       .33140      -.12740       .87394   .77432E+03  -.22575E+03
 990.00000       .32894      -.13227       .87430   .76707E+03  -.23210E+03
1000.00000       .32618      -.13699       .87484   .75946E+03  -.23785E+03
1010.00000       .32314      -.14154       .87554   .75153E+03  -.24299E+03
1020.00000       .31984      -.14591       .87641   .74336E+03  -.24752E+03
1030.00000       .31628      -.15008       .87744   .73499E+03  -.25143E+03
1040.00000       .31248      -.15404       .87863   .72648E+03  -.25472E+03
1050.00000       .30846      -.15777       .87996   .71787E+03  -.25741E+03
1060.00000       .30423      -.16126       .88144   .70923E+03  -.25951E+03
1070.00000       .29980      -.16452       .88306   .70058E+03  -.26104E+03
1080.00000       .29519      -.16751       .88480   .69198E+03  -.26201E+03
1090.00000       .29042      -.17024       .88667   .68346E+03  -.26245E+03
1100.00000       .28551      -.17270       .88866   .67505E+03  -.26238E+03
1110.00000       .28047      -.17488       .89075   .66679E+03  -.26182E+03
1120.00000       .27532      -.17678       .89295   .65869E+03  -.26080E+03
1130.00000       .27007      -.17839       .89524   .65079E+03  -.25936E+03
1140.00000       .26476      -.17970       .89761   .64310E+03  -.25750E+03
1150.00000       .25938      -.18073       .90006   .63565E+03  -.25527E+03
1160.00000       .25397      -.18146       .90257   .62844E+03  -.25269E+03
1170.00000       .24854      -.18190       .90514   .62148E+03  -.24979E+03
1180.00000       .24310      -.18204       .90776   .61480E+03  -.24658E+03
1190.00000       .23768      -.18189       .91042   .60838E+03  -.24310E+03
1200.00000       .23230      -.18146       .91311   .60225E+03  -.23937E+03
1210.00000       .22696      -.18074       .91582   .59641E+03  -.23541E+03
1220.00000       .22168      -.17975       .91855   .59085E+03  -.23124E+03
1230.00000       .21649      -.17848       .92128   .58558E+03  -.22689E+03
1240.00000       .21140      -.17695       .92400   .58060E+03  -.22237E+03
1250.00000       .20642      -.17516       .92671   .57591E+03  -.21771E+03
1260.00000       .20156      -.17313       .92940   .57150E+03  -.21292E+03
1270.00000       .19684      -.17086       .93206   .56738E+03  -.20802E+03
1280.00000       .19228      -.16836       .93468   .56354E+03  -.20302E+03
1290.00000       .18788      -.16565       .93726   .55998E+03  -.19794E+03
1300.00000       .18365      -.16274       .93979   .55669E+03  -.19280E+03
1310.00000       .17962      -.15963       .94226   .55367E+03  -.18760E+03
1320.00000       .17577      -.15635       .94466   .55091E+03  -.18236E+03
1330.00000       .17213      -.15290       .94699   .54842E+03  -.17709E+03
1340.00000       .16870      -.14930       .94925   .54617E+03  -.17181E+03
1350.00000       .16549      -.14556       .95142   .54418E+03  -.16652E+03
1360.00000       .16250      -.14171       .95351   .54244E+03  -.16123E+03
1370.00000       .15974      -.13774       .95551   .54093E+03  -.15595E+03
1380.00000       .15720      -.13368       .95742   .53966E+03  -.15070E+03
1390.00000       .15491      -.12953       .95923   .53862E+03  -.14547E+03
1400.00000       .15284      -.12533       .96093   .53780E+03  -.14028E+03
1410.00000       .15102      -.12107       .96254   .53719E+03  -.13514E+03
1420.00000       .14943      -.11678       .96403   .53680E+03  -.13005E+03
1430.00000       .14807      -.11246       .96543   .53662E+03  -.12502E+03
1440.00000       .14695      -.10813       .96671   .53664E+03  -.12005E+03
1450.00000       .14606      -.10381       .96789   .53686E+03  -.11516E+03
1460.00000       .14540      -.09950       .96896   .53726E+03  -.11034E+03
1470.00000       .14497      -.09523       .96992   .53786E+03  -.10562E+03
1480.00000       .14475      -.09099       .97077   .53863E+03  -.10098E+03
1490.00000       .14474      -.08681       .97151   .53958E+03  -.96433E+02
1500.00000       .14495      -.08270       .97215   .54070E+03  -.91991E+02
1510.00000       .14535      -.07866       .97269   .54198E+03  -.87655E+02
1520.00000       .14595      -.07470       .97312   .54343E+03  -.83431E+02
1530.00000       .14674      -.07084       .97345   .54503E+03  -.79324E+02
1540.00000       .14770      -.06708       .97368   .54677E+03  -.75338E+02
1550.00000       .14884      -.06343       .97382   .54866E+03  -.71478E+02
1560.00000       .15014      -.05991       .97387   .55069E+03  -.67749E+02
1570.00000       .15159      -.05650       .97383   .55284E+03  -.64155E+02
1580.00000       .15319      -.05323       .97370   .55512E+03  -.60700E+02
1590.00000       .15492      -.05010       .97349   .55752E+03  -.57390E+02
1600.00000       .15678      -.04712       .97320   .56004E+03  -.54228E+02
1610.00000       .15875      -.04428       .97284   .56266E+03  -.51217E+02
1620.00000       .16083      -.04159       .97240   .56538E+03  -.48362E+02
1630.00000       .16301      -.03906       .97190   .56819E+03  -.45666E+02
1640.00000       .16528      -.03668       .97134   .57109E+03  -.43133E+02
1650.00000       .16762      -.03447       .97071   .57406E+03  -.40766E+02
1660.00000       .17003      -.03241       .97004   .57711E+03  -.38568E+02
1670.00000       .17251      -.03052       .96931   .58022E+03  -.36542E+02
1680.00000       .17503      -.02880       .96854   .58339E+03  -.34690E+02
1690.00000       .17759      -.02723       .96772   .58661E+03  -.33014E+02
1700.00000       .18018      -.02583       .96687   .58987E+03  -.31517E+02
1710.00000       .18280      -.02459       .96598   .59316E+03  -.30200E+02
1720.00000       .18543      -.02351       .96506   .59647E+03  -.29064E+02
1730.00000       .18806      -.02259       .96412   .59980E+03  -.28110E+02
1740.00000       .19070      -.02183       .96316   .60313E+03  -.27339E+02
1750.00000       .19332      -.02122       .96218   .60646E+03  -.26750E+02
1760.00000       .19592      -.02076       .96118   .60978E+03  -.26344E+02
1770.00000       .19850      -.02045       .96018   .61308E+03  -.26119E+02
1780.00000       .20105      -.02029       .95917   .61635E+03  -.26074E+02
1790.00000       .20355      -.02026       .95816   .61957E+03  -.26207E+02
1800.00000       .20601      -.02038       .95714   .62275E+03  -.26515E+02
1810.00000       .20842      -.02062       .95614   .62588E+03  -.26997E+02
1820.00000       .21077      -.02099       .95514   .62893E+03  -.27647E+02
1830.00000       .21306      -.02149       .95415   .63191E+03  -.28463E+02
1840.00000       .21527      -.02210       .95317   .63481E+03  -.29440E+02
1850.00000       .21742      -.02283       .95221   .63761E+03  -.30573E+02
1860.00000       .21948      -.02366       .95127   .64031E+03  -.31855E+02
1870.00000       .22147      -.02460       .95035   .64291E+03  -.33281E+02
1880.00000       .22336      -.02563       .94945   .64538E+03  -.34844E+02
1890.00000       .22517      -.02675       .94858   .64774E+03  -.36537E+02
1900.00000       .22688      -.02796       .94774   .64996E+03  -.38352E+02
1910.00000       .22850      -.02925       .94693   .65204E+03  -.40281E+02
1920.00000       .23002      -.03061       .94615   .65399E+03  -.42316E+02
1930.00000       .23144      -.03204       .94541   .65578E+03  -.44447E+02
1940.00000       .23275      -.03353       .94470   .65742E+03  -.46665E+02
1950.00000       .23396      -.03507       .94403   .65891E+03  -.48960E+02
1960.00000       .23506      -.03667       .94340   .66024E+03  -.51324E+02
1970.00000       .23606      -.03831       .94281   .66140E+03  -.53745E+02
1980.00000       .23694      -.03998       .94226   .66240E+03  -.56214E+02
1990.00000       .23772      -.04169       .94175   .66323E+03  -.58721E+02
2000.00000       .23839      -.04342       .94128   .66390E+03  -.61255E+02
