  .50000E+02  .18490E+02 -.11108E+04
  .10000E+03  .20931E+02 -.47951E+03
  .15000E+03  .25902E+02 -.22941E+03
  .20000E+03  .35420E+02 -.66203E+02
  .25000E+03  .54517E+02  .75289E+02
  .30000E+03  .97319E+02  .22705E+03
  .35000E+03  .21046E+03  .41537E+03
  .40000E+03  .55299E+03  .59353E+03
  .45000E+03  .10777E+04  .19522E+03
  .50000E+03  .77033E+03 -.31032E+03
  .55000E+03  .47370E+03 -.28948E+03
  .60000E+03  .35781E+03 -.19312E+03
  .65000E+03  .32107E+03 -.11259E+03
  .70000E+03  .31961E+03 -.57602E+02
  .75000E+03  .32872E+03 -.28005E+02
  .80000E+03  .32956E+03 -.13362E+02
  .85000E+03  .31810E+03  .62456E+01
  .90000E+03  .30744E+03  .44244E+02
  .95000E+03  .31492E+03  .10082E+03
  .10000E+04  .35792E+03  .16851E+03
